City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,anloga,5.79,0.9,77.0,88,20,2.24,GH,1579585304
312,salinopolis,-0.61,-47.36,80.42,83,100,15.75,BR,1579585304
313,tak bai,6.26,102.05,86.0,70,40,13.87,TH,1579585305
314,ginir,7.13,40.7,71.02,27,65,0.6,ET,1579585306
315,ambon,-3.7,128.18,91.4,52,20,14.99,ID,1579585090
316,nau,40.15,69.37,35.6,92,40,6.71,TJ,1579585306
317,kysyl-syr,63.9,122.76,-14.21,99,96,2.53,RU,1579585307
318,mattru,7.62,-11.83,72.48,97,16,2.62,SL,1579585307
319,mbanza-ngungu,-5.25,14.87,70.25,93,100,0.56,CD,1579585308
320,lons,43.32,-0.4,37.4,81,90,6.93,FR,1579585308
321,maiduguri,11.85,13.16,62.4,61,19,7.09,NG,1579585309
322,tsalka,41.59,44.09,16.88,74,0,8.32,GE,1579585309
323,mirnyy,62.54,113.96,-11.2,83,71,6.71,RU,1579585310
324,saint-michel-des-saints,46.68,-73.92,-5.12,97,66,4.34,CA,1579585206
325,vao,-22.67,167.48,75.96,69,64,14.74,NC,1579585310
326,saint-augustin,51.23,-58.65,2.28,78,83,9.66,CA,1579585311
327,christchurch,-43.53,172.63,69.01,64,38,16.11,NZ,1579585311
328,marzuq,14.4,46.47,65.39,26,10,1.36,YE,1579585311
329,shamsabad,27.02,78.13,63.68,49,98,6.2,IN,1579585312
330,balsas,-7.53,-46.04,72.57,94,88,2.98,BR,1579585312
331,gannan,47.91,123.5,3.52,83,69,1.63,CN,1579585313
332,jacksonville,30.33,-81.66,46.4,64,20,6.93,US,1579585294
333,yar-sale,66.83,70.83,-3.33,93,100,12.68,RU,1579585313
334,sur,22.57,59.53,72.23,47,0,1.5,OM,1579585314
335,luau,-10.71,22.22,69.6,84,100,3.44,AO,1579585314
336,ayr,55.46,-4.63,48.2,87,75,10.29,GB,1579585314
337,luderitz,-26.65,15.16,60.8,93,0,1.12,NA,1579585315
338,jutai,-5.18,-68.9,73.45,93,100,1.21,BR,1579585316
339,norman wells,65.28,-126.83,-22.0,74,20,3.36,CA,1579585033
340,lompoc,34.64,-120.46,54.0,100,90,4.7,US,1579585099
341,natal,-5.79,-35.21,78.8,83,40,8.05,BR,1579585317
342,bima,-8.47,118.72,85.75,69,50,2.24,ID,1579585317
343,rocha,-34.48,-54.33,66.02,97,0,4.41,UY,1579585116
344,maturin,9.75,-63.18,70.79,98,68,3.65,VE,1579585318
345,alice springs,-23.7,133.88,95.0,21,0,13.87,AU,1579585319
346,half moon bay,37.46,-122.43,53.01,87,75,6.93,US,1579585319
347,raufoss,60.73,10.62,44.6,70,51,12.75,NO,1579585320
348,hobyo,5.35,48.53,80.06,64,84,18.99,SO,1579585320
349,vanavara,60.34,102.28,-10.93,94,99,5.75,RU,1579585320
350,goderich,43.75,-81.72,30.0,80,99,6.26,CA,1579585321
351,bethanien,-26.5,17.16,68.49,21,0,2.57,NA,1579585321
352,kamina,-8.74,24.99,70.23,87,95,2.55,CD,1579585321
353,bakal,54.94,58.81,20.73,94,100,4.61,RU,1579585322
354,tahta,26.77,31.5,48.2,70,0,10.29,EG,1579585322
355,morehead,37.27,-87.18,21.99,73,75,3.36,US,1579585323
356,shingu,33.73,135.98,51.8,45,40,21.92,JP,1579585323
357,joshimath,30.57,79.57,32.52,81,96,2.19,IN,1579585029
358,waingapu,-9.66,120.26,84.27,76,68,21.05,ID,1579585324
359,ahipara,-35.17,173.17,79.0,59,10,12.48,NZ,1579585097
360,mersing,2.43,103.84,81.34,80,100,19.55,MY,1579585324
361,birao,10.28,22.79,60.51,22,0,17.09,CF,1579585325
362,maniitsoq,65.42,-52.9,21.02,76,100,13.96,GL,1579585193
363,orebro,59.27,15.21,48.0,81,90,17.22,SE,1579585326
364,guane,22.2,-84.09,67.62,81,45,14.88,CU,1579585326
365,izhma,65.01,53.91,5.41,92,100,12.35,RU,1579585326
366,vila franca do campo,37.72,-25.43,57.2,67,75,6.93,PT,1579585327
367,padang,-0.95,100.35,85.06,59,80,1.7,ID,1579585167
368,madison,34.73,-86.57,25.0,73,90,6.93,US,1579585328
369,praxedis guerrero,31.37,-106.02,51.01,39,90,8.05,MX,1579585328
370,sao filipe,14.9,-24.5,69.15,73,57,5.97,CV,1579585329
371,waitati,-45.75,170.57,59.0,95,100,16.22,NZ,1579585329
372,tadine,-21.55,167.88,76.95,65,57,11.92,NC,1579585330
373,abadiania,-16.2,-48.71,68.0,94,40,4.7,BR,1579585330
374,portland,45.52,-122.68,45.0,70,90,11.41,US,1579585249
375,jiayuguan,39.82,98.3,29.05,40,61,17.47,CN,1579585331
376,caravelas,-17.71,-39.25,79.39,80,100,15.37,BR,1579585089
377,broken hill,-31.95,141.43,86.0,22,0,8.05,AU,1579585104
378,nokaneng,-19.67,22.27,72.16,72,93,16.82,BW,1579585333
379,atbasar,51.8,68.33,13.24,94,96,8.9,KZ,1579585333
380,haapiti,-17.57,-149.87,82.4,74,40,11.41,PF,1579585248
381,banda aceh,5.56,95.32,85.28,67,92,7.56,ID,1579585336
382,vata de jos,46.18,22.6,22.51,96,9,1.19,RO,1579585336
383,biak,-0.91,122.88,86.27,67,100,9.91,ID,1579585148
384,mehamn,71.04,27.85,35.6,64,40,26.4,NO,1579585338
